date,habits,status
2025-01-03,Walk,0
2025-01-03,Walk,1
2025-01-04,Walk,1
2025-01-05,Study,0
2025-01-05,Study,1
2025-01-06,Study,1
2025-01-06,Walk,1
2025-01-07,Study,1
2025-01-07,Walk,1
2025-01-08,Journal,0
2025-01-08,Study,1
2025-01-08,Walk,1
2025-01-09,Study,1
2025-01-10,Study,1
2025-01-10,Walk,1
2025-01-11,Study,1
2025-01-11,Walk,1
2025-01-12,Study,1
2025-01-12,Walk,1
2025-01-13,Meditate,0
2025-01-13,Study,1
2025-01-13,Walk,1
2025-01-14,Meditate,1
2025-01-14,Study,1
2025-01-14,Walk,1
2025-01-15,Study,1
2025-01-16,Meditate,1
2025-01-16,Study,1
2025-01-16,Walk,1
2025-01-17,Study,1
2025-01-18,Study,1
2025-01-18,Walk,1
2025-01-19,Walk,1
2025-01-20,Meditate,1
2025-01-20,Study,1
2025-01-20,Walk,1
2025-01-21,Meditate,1
2025-01-21,Study,1
2025-01-21,Walk,1
2025-01-22,Study,1
2025-01-22,Walk,1
2025-01-23,Study,1
2025-01-23,Walk,1
2025-01-24,Study,1
2025-01-25,Study,1
2025-01-25,Walk,1
2025-01-26,Meditate,1
2025-01-26,Study,1
2025-01-26,Walk,1
2025-01-27,Study,1
2025-01-28,Journal,1
2025-01-28,Meditate,1
2025-01-28,Study,1
2025-01-28,Walk,1
2025-01-29,Drink Water,0
2025-01-29,Drink Water,1
2025-01-29,Journal,1
2025-01-29,Meditate,1
2025-01-29,Study,1
2025-01-30,Drink Water,1
2025-01-30,Study,1
2025-01-30,Walk,1
2025-01-31,Drink Water,1
2025-01-31,Read,0
2025-01-31,Read,1
2025-01-31,Study,1
2025-01-31,Walk,1
2025-02-01,Drink Water,1
2025-02-01,Read,1
2025-02-01,Walk,1
2025-02-02,Do Homework,0
2025-02-02,Drink Water,1
2025-02-02,Read,1
2025-02-02,Study,1
2025-02-03,Do Homework,1
2025-02-03,Drink Water,1
2025-02-03,Meditate,1
2025-02-03,Study,1
2025-02-03,Walk,1
2025-02-04,Do Homework,1
2025-02-04,Drink Water,1
2025-02-04,Journal,1
2025-02-04,Study,1
2025-02-04,Walk,1
2025-02-05,Do Homework,1
2025-02-05,Drink Water,1
2025-02-05,Study,1
2025-02-06,Do Homework,1
2025-02-06,Meditate,1
2025-02-06,Read,1
2025-02-06,Study,1
2025-02-07,Do Homework,1
2025-02-07,Drink Water,1
2025-02-07,Read,1
2025-02-07,Study,1
2025-02-07,Walk,1
2025-02-08,Do Homework,1
2025-02-08,Drink Water,1
2025-02-08,Journal,1
2025-02-08,Study,1
2025-02-09,Drink Water,1
2025-02-09,Study,1
2025-02-10,Do Homework,1
